timestamp,pnl,cash,posA,posB
1782941017.1688461,5577.401999999977,5577.401999999977,0,0
1782941022.1688588,5577.401999999977,5577.401999999977,0,0
1782941027.1689286,5577.401999999977,5577.401999999977,0,0
1782941032.168974,5577.401999999977,5578.301999999977,3,-3
1782941037.1689916,5577.701999999976,5577.901999999976,1,-1
1782941042.1690784,5577.701999999976,5577.701999999976,0,0
1782941047.1691775,5577.701999999976,5577.701999999976,0,0
1782941052.1692634,5577.701999999976,5577.701999999976,0,0
1782941057.169398,5577.701999999976,5577.701999999976,0,0
1782941062.1694648,5578.001999999976,5578.001999999976,0,0
1782941067.169468,5578.001999999976,5578.001999999976,0,0
1782941072.1695864,5578.001999999976,5578.301999999976,-3,3
1782941077.1696727,5577.4019999999755,5578.301999999976,-3,3
1782941082.1697674,5578.901999999976,5578.301999999976,-3,3
1782941087.1698353,5578.901999999976,5578.301999999976,-3,3
1782941092.1698413,5578.901999999976,5578.301999999976,-3,3
1782941097.1698558,5578.901999999976,5578.301999999976,-3,3
1782941102.1698978,5578.001999999975,5583.601999999975,14,-14
1782941107.1702745,5573.801999999975,5586.4019999999755,14,-14
1782941112.170353,5583.601999999975,5583.601999999975,0,0
1782941117.170365,5582.701999999975,5584.501999999975,3,-3
1782941122.1704195,5580.501999999975,5588.901999999975,14,-14
1782941127.170447,5585.001999999975,5585.001999999975,0,0
1782941132.170545,5585.001999999975,5585.001999999975,0,0
1782941137.1706262,5584.701999999976,5590.301999999976,14,-14
1782941142.1706336,5562.201999999976,5602.9019999999755,37,-37
1782941147.170655,5575.701999999975,5332.501999999975,29,-26
1782941152.17072,5586.401999999975,5604.901999999975,37,-37
1782941157.1707869,5592.201999999974,5597.801999999974,14,-14
1782941162.170838,5593.901999999975,5593.901999999975,0,0
1782941167.1709352,5593.901999999975,5593.901999999975,0,0
1782941172.1709492,5593.901999999975,5593.901999999975,0,0
1782941177.1709833,5593.901999999975,5593.901999999975,0,0
1782941182.1709852,5593.901999999975,5593.901999999975,0,0
1782941187.171004,5593.901999999975,5593.901999999975,0,0
1782941192.1710215,5593.701999999974,5594.501999999975,2,-2
1782941197.171047,5596.501999999975,5599.301999999974,14,-14
1782941202.1710618,5596.501999999975,5596.501999999975,0,0
1782941207.171089,5596.501999999975,5596.501999999975,0,0
1782941212.1711373,5616.101999999974,5616.101999999974,37,-37
1782941217.1711802,5597.601999999975,5616.101999999974,37,-37
1782941222.1712625,5597.6019999999735,5610.601999999974,26,-26
1782941227.1713119,5602.801999999974,5610.601999999974,26,-26
1782941232.1713152,5601.601999999975,5605.801999999974,14,-14
1782941237.171381,5601.601999999974,5605.801999999974,14,-14
